date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:28:25	71/71	---MCZ	200	added ('OK')	text/plain	date:Sat,%2017%20Dec%202022%2002:28:24%20GMT	https://penedotem.com.br/robots.txt		(from )
23:28:25	127135/127135	---MC-	200	added ('OK')	text/html	date:Sat,%2017%20Dec%202022%2002:28:24%20GMT	https://penedotem.com.br/wrb1/	C:/Users/Diogo/Desktop/Autismo/j/penedotem.com.br/wrb1/index.html	(from )
23:28:26	1/1	---MC-	400	error ('Bad%20Request')	text/html	date:Sat,%2017%20Dec%202022%2002:28:25%20GMT	https://penedotem.com.br/wrb1/site-admin/admin-ajax.php?	C:/Users/Diogo/Desktop/Autismo/j/penedotem.com.br/wrb1/site-admin/admin-ajaxd41d.php	(from https://penedotem.com.br/wrb1/)
23:28:26	1559/1559	---MCZ	200	added ('OK')	application/rss+xml	etag:%22385c7dee3853ed3d2fd70af0882de166%22	https://penedotem.com.br/wrb1/feed/	C:/Users/Diogo/Desktop/Autismo/j/penedotem.com.br/wrb1/feed/index.html	(from https://penedotem.com.br/wrb1/)
23:28:27	2562/2562	---M--	200	added ('OK')	text/css	date:Mon,%2010%20Oct%202022%2015:56:42%20GMT	https://penedotem.com.br/wrb1/sitepad-data/themes/onlite/style.css?ver=5.1.6	C:/Users/Diogo/Desktop/Autismo/j/penedotem.com.br/wrb1/sitepad-data/themes/onlite/styleb62d.css	(from https://penedotem.com.br/wrb1/)
23:28:28	287189/287189	---MCZ	200	added ('OK')	text/css	date:Wed,%2014%20Dec%202022%2009:03:36%20GMT	https://penedotem.com.br/wrb1/site-data/plugins/pagelayer-pro/css/givecss.php?give=pagelayer-frontend.css%2Cnivo-lightbox.css%2Canimate.min.css%2Cowl.carousel.min.css%2Cowl.theme.default.min.css%2Cfont-awesome5.min.css&premium=%2Cpremium-frontend.css&ver=1.7.2	C:/Users/Diogo/Desktop/Autismo/j/penedotem.com.br/wrb1/site-data/plugins/pagelayer-pro/css/givecss2ebe.css	(from https://penedotem.com.br/wrb1/)
23:28:28	89521/89521	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2014%20Dec%202022%2009:03:36%20GMT	https://penedotem.com.br/wrb1/site-inc/js/jquery/jquery.js?ver=1.12.4	C:/Users/Diogo/Desktop/Autismo/j/penedotem.com.br/wrb1/site-inc/js/jquery/jqueryb8ff.js	(from https://penedotem.com.br/wrb1/)
23:28:28	10056/10056	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2014%20Dec%202022%2009:03:36%20GMT	https://penedotem.com.br/wrb1/site-inc/js/jquery/jquery-migrate.min.js?ver=1.4.1	C:/Users/Diogo/Desktop/Autismo/j/penedotem.com.br/wrb1/site-inc/js/jquery/jquery-migrate.min330a.js	(from https://penedotem.com.br/wrb1/)
23:28:28	333443/333443	---MCZ	200	added ('OK')	text/javascript	date:Wed,%2014%20Dec%202022%2009:03:36%20GMT	https://penedotem.com.br/wrb1/site-data/plugins/pagelayer-pro/js/givejs.php?give=pagelayer-frontend.js%2Cnivo-lightbox.min.js%2Cwow.min.js%2Cjquery-numerator.js%2CsimpleParallax.min.js%2Cowl.carousel.min.js&premium=%2Cchart.min.js%2Cpremium-frontend.js%2Cshuffle.min.js&ver=1.7.2	C:/Users/Diogo/Desktop/Autismo/j/penedotem.com.br/wrb1/site-data/plugins/pagelayer-pro/js/givejsc5d8.php	(from https://penedotem.com.br/wrb1/)
23:28:29	49645/49645	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2017%20Dec%202022%2002:28:28%20GMT	https://penedotem.com.br/wrb1/xmlrpc.php?rsd	C:/Users/Diogo/Desktop/Autismo/j/penedotem.com.br/wrb1/xmlrpc0db0.php	(from https://penedotem.com.br/wrb1/)
